country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855847402,0.967079472,1.218431089,1.433785329,1.823326191,1.815142254,1.901746513,2.11620782,2.514211828,2.836228362,2.834046648,2.47226695,2.543568342,2.82228297,3.01183975,3.375428458,3.380780649,4.00447266,3.656129529,3.249039832,3.340357093,3.575560278,3.2253477,3.323206898,3.967723447,4.406278229,4.491272491,4.219447349,,
American Samoa,ASM,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.855516,393.8505988,356.4750341,339.553956,330.7271506,291.0041137,287.2438514,282.0668654,276.3529812,269.2294492,269.5920014,243.4211708,233.3107863,235.4154302,237.4108899,241.5457812,277.6866134,309.7491688,316.156931,284.2580778,267.665566,268.2546574,283.6048582,281.9007436,292.6009279,303.793771,320.4916717,330.5689658,353.3241461,370.5036005,295.6901405,,
Australia,AUS,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.39819855,32.34380269,35.73388122,33.24348228,34.9097226,36.69762749,38.70448566,40.32017083,41.38255973,44.48157322,47.46067051,51.24406282,54.83595447,60.11432489,66.86641282,74.61158901,82.38248372,89.64536761,91.51130043,79.18513156,67.3131379,71.6109638,146.4876021,130.6123413,117.6882237,118.4164727,141.6694325,172.5717625,,
Austria,AUT,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,57.68476675,56.79551057,57.13827518,58.03615156,57.28612589,57.93943686,58.52674556,58.58362207,59.77143926,61.34161504,63.24022335,66.67129321,69.39800396,71.15490695,74.34684495,77.91591773,77.55295709,77.05696804,79.55458235,82.11413806,85.58646343,87.36781588,89.55559075,90.6744041,93.43940419,95.82937378,99.44448016,103.4696359,105.3058297,101.6563132,103.8464199,106.8816403,107.6089117,107.636357,108.348127,109.4473205,111.6247062,114.145831,116.9143073,118.6883516,111.0282428,,
Azerbaijan,AZE,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960105151,0.732174978,0.656441366,0.606459071,0.637762667,0.725367455,0.975883219,0.896330972,1.084442044,1.319953828,1.445125701,1.501947144,1.544460632,1.871637848,2.44604449,3.072482856,3.566857471,4.034926104,4.304332794,4.184290841,4.032498205,4.260019208,4.528988334,4.540539865,4.329774799,4.251808842,4.298915263,4.258341906,4.0752332,,
Burundi,BDI,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65520585,19.87102815,17.88013839,16.63943538,15.87023476,14.6851049,12.70263993,11.33821131,9.740238419,8.397960642,7.775843945,7.690535917,7.210381764,6.789641185,6.967447301,7.317622947,7.268392733,7.662462522,7.775036434,8.195961912,8.478882302,8.89110151,9.230096571,9.703061487,10.09434714,10.54321312,11.06238095,11.53149783,11.08176941,11.01527869,11.07035522,11.24858079,11.45246867,11.48993621,,
Belgium,BEL,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,26.63190631,26.71121978,27.02655425,27.26956577,28.10669953,28.74022612,29.43849359,30.29810329,31.92051928,33.22831085,34.48004383,35.32776864,36.09020305,35.96534767,37.35827087,38.4900431,40.37135795,43.43162961,44.58204805,46.4746108,48.5472387,51.82392819,55.82842802,57.4010035,60.51632712,63.0512959,65.5437601,68.89473336,70.16238017,70.19918745,72.80426772,86.72725177,83.77471285,92.36799355,99.4482023,115.75753,111.6592926,108.3255747,116.0012071,117.9227504,111.6004558,,
Benin,BEN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,32.66243068,31.9713773,30.22368371,30.04308964,28.09795261,29.519944,29.69604771,29.54556634,30.25194136,29.89011386,32.40413274,34.57672218,37.41325359,39.82511094,42.97992132,46.63995169,50.39262212,52.73236713,54.54824667,56.96456193,57.94045862,60.22547898,63.83078654,66.9563102,68.50922264,69.95755195,72.03092094,75.4964894,80.9257694,86.07077013,87.60123844,90.52683372,95.66111331,102.0677863,109.0754413,113.2732349,,
Burkina Faso,BFA,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,9.067930833,9.391630643,9.003664613,9.167589964,9.025608389,8.657683828,9.123583036,8.845662416,8.706241693,8.411188782,8.497471796,9.032673162,9.211891427,8.048189685,8.164749221,7.88245087,7.984794084,7.936698115,8.168088382,8.163800042,8.502219356,9.033877134,9.405294063,9.950800342,10.24553816,11.11090516,11.84673181,12.6111626,13.3416749,13.91894857,14.46474239,15.32654837,16.27732918,17.35237663,18.33939979,18.69340979,,
